[INFO] [1788764767.394082724] [cpp_distance_subscriber]: C++ subscriber listening on /turtle_distance
[INFO] [1788764780.375251476] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.475274409] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.575056332] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.675065629] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.775292963] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.875248659] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764780.975133044] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.075115227] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.175189574] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.275543562] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.375462133] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.475153008] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.575338249] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.675320580] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.775163418] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.875122682] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764781.975175727] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.075218616] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.176022436] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.275171075] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.375250936] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.475272671] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.575249168] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.675149725] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.775215011] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.875308009] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764782.975251109] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.075100186] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.175277721] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.275410487] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.375312834] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.475159881] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.575181017] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.675165787] [cpp_distance_subscriber]: C++ received distance: 7.841 m
[INFO] [1788764783.775212260] [cpp_distance_subscriber]: C++ received distance: 7.841 m
